Date,series,OPEN,HIGH,LOW,PREV. CLOSE,ltp,close,vwap,52W H,52W L,VOLUME,VALUE,No of trades,EMA_50,EMA_100,EMA_200
2024-10-14,EQ,"7,292.70","7,313.85","7,200.00","7,302.00","7,210.15",7208.8,"7,228.14","8,159.00","6,187.80","4,45,181","3,21,78,32,712.75","61,662",7251.401626282504,7135.0296930894565,7073.168331471138
2024-10-15,EQ,"7,244.90","7,256.15","6,979.00","7,208.80","7,029.80",7016.9,"7,060.92","8,159.00","6,187.80","14,85,567","10,48,94,72,544.35","1,82,002",7242.205484075347,7132.6904912461005,7072.608447575903
2024-10-16,EQ,"7,010.00","7,059.35","6,920.00","7,016.90","6,944.95",6956.35,"6,962.66","8,159.00","6,187.80","11,25,698","7,83,78,49,812.95","1,22,278",7230.995465092,7129.198600330336,7071.451647102511
2024-10-17,EQ,"6,980.95","6,998.80","6,871.00","6,956.35","6,896.00",6899.5,"6,916.07","8,159.00","6,187.80","6,89,755","4,77,03,93,117.15","79,564",7217.99564293153,7124.650113195082,7069.7406854398
2024-10-18,EQ,"6,893.00","6,938.65","6,820.70","6,899.50","6,910.05",6899.55,"6,891.94","8,159.00","6,187.80","7,44,929","5,13,40,06,328.95","87,074",7205.507578502842,7120.192685211021,7068.047245783682
2024-10-21,EQ,"6,909.05","6,950.75","6,717.25","6,899.55","6,758.00",6780.9,"6,774.84","7,884.90","6,187.80","22,09,966","14,97,21,57,576.75","1,59,111",7188.856300914496,7113.474018177139,7065.190059258472
2024-10-22,EQ,"6,800.00","6,833.00","6,643.65","6,780.90","6,645.75",6677.9,"6,731.90","7,884.90","6,187.80","17,00,619","11,44,83,91,186.35","1,65,569",7168.818798917849,7104.848790094423,7061.336426828039
2024-10-23,EQ,"6,605.75","7,098.85","6,601.00","6,677.90","7,004.85",6995.8,"6,988.30","7,884.90","6,187.80","26,37,391","18,43,08,74,698.70","2,22,733",7162.033747979894,7102.689408112355,7060.684323078506
2024-10-24,EQ,"7,012.50","7,122.85","6,990.60","6,995.80","7,037.05",7040.9,"7,041.13","7,884.90","6,187.80","8,95,125","6,30,26,91,464.00","1,10,081",7157.283404921859,7101.4658554764665,7060.487464142402
2024-10-25,EQ,"7,040.90","7,059.95","6,893.30","7,040.90","6,905.00",6910.15,"6,966.87","7,884.90","6,187.80","10,22,324","7,12,24,00,380.15","1,16,833",7147.591898846492,7097.677422694754,7058.991568976806
2024-10-28,EQ,"6,920.00","7,045.00","6,875.00","6,910.15","6,916.65",6911.35,"6,944.13","7,830.00","6,187.80","7,14,981","4,96,49,18,555.90","66,081",7138.327510656434,7093.987770760204,7057.522498638728
2024-10-29,EQ,"6,909.10","7,060.00","6,802.20","6,911.35","6,999.00",7022.5,"6,940.70","7,830.00","6,187.80","14,09,750","9,78,46,48,267.70","1,52,135",7133.785255336574,7092.5721713392095,7057.174016065209
2024-10-30,EQ,"6,999.00","7,020.45","6,932.00","7,022.50","6,965.00",6955.0,"6,965.91","7,830.00","6,187.80","5,66,044","3,94,30,12,838.65","58,711",7126.774068852787,7089.847969926552,7056.157359188938
2024-10-31,EQ,"6,949.00","6,970.80","6,879.75","6,955.00","6,897.35",6889.75,"6,906.19","7,830.00","6,187.80","7,30,153","5,04,25,76,384.00","1,07,692",7117.479007329149,7085.885633888402,7054.501564570143
2024-11-01,EQ,"6,930.00","6,944.55","6,902.00","6,889.75","6,911.05",6923.6,"6,926.41","7,830.00","6,187.80","45,011","31,17,64,802.50","7,918",7109.875909002516,7082.672056979721,7053.199061440093
2024-11-04,EQ,"6,975.00","6,975.00","6,752.90","6,923.60","6,832.00",6843.7,"6,826.16","7,830.00","6,187.80","7,16,239","4,88,91,61,003.80","1,03,657",7099.43763806124,7077.939937039529,7051.11449366457
2024-11-05,EQ,"6,845.00","7,014.95","6,712.00","6,843.70","6,896.70",6930.35,"6,870.96","7,830.00","6,187.80","12,23,430","8,40,61,38,367.90","1,66,177",7092.806750294133,7075.017364028844,7049.912856911688
2024-11-06,EQ,"6,935.00","7,024.10","6,892.30","6,930.35","6,990.00",7006.2,"6,975.33","7,830.00","6,187.80","6,96,262","4,85,66,55,555.40","91,030",7089.410407145344,7073.654643949065,7049.477903111572
2024-11-07,EQ,"7,006.20","7,038.95","6,870.00","7,006.20","6,900.00",6904.5,"6,915.52","7,830.00","6,187.80","4,59,047","3,17,45,49,129.75","63,793",7082.159018629841,7070.305047039183,7048.035336911457
2024-11-08,EQ,"6,904.50","6,951.55","6,841.00","6,904.50","6,874.00",6895.95,"6,893.79","7,830.00","6,187.80","4,24,840","2,92,87,59,136.00","70,304",7074.856704173769,7066.852471850288,7046.522049977016
2024-11-11,EQ,"6,860.00","6,904.20","6,752.15","6,895.95","6,765.00",6778.8,"6,832.81","7,830.00","6,187.80","7,62,316","5,20,87,56,890.90","57,687",7063.246637343425,7061.148462506717,7043.85814898222
2024-11-12,EQ,"6,819.00","6,836.85","6,615.00","6,778.80","6,635.15",6638.2,"6,681.15","7,830.00","6,187.80","10,57,233","7,06,35,35,306.55","1,23,883",7046.57814176133,7052.773245427376,7039.82174948986
2024-11-13,EQ,"6,635.00","6,702.25","6,526.60","6,638.20","6,586.00",6566.0,"6,601.80","7,830.00","6,187.80","8,67,347","5,72,60,51,757.45","1,01,724",7027.731940123631,7043.134171260497,7035.107105216329
2024-11-14,EQ,"6,572.30","6,639.45","6,530.00","6,566.00","6,570.00",6549.15,"6,565.76","7,830.00","6,187.80","5,27,703","3,46,47,71,022.90","83,537",7008.964020903096,7033.3523064830615,7030.271711134575
2024-11-18,EQ,"6,633.00","6,657.00","6,555.00","6,549.15","6,565.05",6567.95,"6,589.82","7,830.00","6,187.80","5,96,535","3,93,10,56,101.20","66,962",6991.6693534167,7024.136419225971,7025.671495103385
2024-11-19,EQ,"6,594.35","6,644.80","6,561.00","6,567.95","6,580.00",6595.3,"6,598.99","7,830.00","6,187.80","8,04,046","5,30,58,94,897.15","89,644",6976.125457204281,7015.644608944269,7021.38919166952
2024-11-21,EQ,"6,614.00","6,614.00","6,451.00","6,595.30","6,460.00",6465.65,"6,486.13","7,830.00","6,187.80","11,01,080","7,14,17,50,733.45","1,14,550",6956.106811823721,7004.753626588937,7015.859448468828
2024-11-22,EQ,"6,470.00","6,722.40","6,456.05","6,465.65","6,720.00",6683.95,"6,620.57","7,830.00","6,187.80","9,69,855","6,42,09,90,288.00","1,07,298",6945.433995673771,6998.40107952777,7012.556866892025
2024-11-25,EQ,"6,789.90","6,863.00","6,667.30","6,683.95","6,700.05",6685.4,"6,731.31","7,830.00","6,187.80","11,32,751","7,62,49,00,931.65","1,12,207",6935.2365840787215,6992.203038349002,7009.301574684144
